北京联通,#genre#
湖北卫视高清,http:///udp/239.93.0.250:5140
安徽卫视高清,http:///udp/239.93.1.106:5140
河北卫视高清,http:///udp/239.93.0.132:5140
辽宁卫视高清,http:///udp/239.93.1.108:5140
云南卫视高清,http:///udp/239.93.1.174:5140
河南卫视高清,http:///udp/239.93.42.45:5140
广西卫视高清,http:///udp/239.93.42.46:5140
云南卫视,http:///udp/239.93.0.174:5140
吉林卫视高清,http:///udp/239.93.0.248:5140
陕西卫视,http:///udp/239.93.0.176:5140
山西卫视,http:///udp/239.93.0.6:5140
内蒙古卫视,http:///udp/239.93.0.8:5140
青海卫视,http:///udp/239.93.0.192:5140
宁夏卫视,http:///udp/239.93.0.247:5140
西藏卫视,http:///udp/239.93.0.175:5140
新疆卫视,http:///udp/239.93.0.194:5140
甘肃卫视高清,http:///udp/239.93.0.81:5140
海南卫视,http:///udp/239.93.0.80:5140
陕西农林,http:///udp/239.93.0.100:5140
兵团卫视,http:///udp/239.93.42.43:5140
峨眉电影高清,http:///udp/239.93.0.252:5140
厦门卫视,http:///udp/239.93.42.57:5140
三沙卫视,http:///udp/239.93.42.58:5140
山东教育卫视,http:///udp/239.93.1.196:5140
CDTV-2,http:///udp/239.93.0.17:1239
CDTV-3,http:///udp/239.93.0.18:1238
CDTV-4,http:///udp/239.93.0.19:1250
CDTV-5高清,http:///udp/239.93.1.231:5140
CDTV-6,http:///udp/239.93.0.21:1251
CDTV-8高清,http:///udp/239.93.0.22:1252
上海纪实高清,http:///udp/239.93.1.137:5140
金鹰纪实高清,http:///udp/239.93.0.130:5140
CETV-1高清,http:///udp/239.93.1.111:5140
熊猫新闻高清,http:///udp/239.93.1.112:5140
熊猫体娱高清,http:///udp/239.93.0.94:5140
熊猫少儿高清,http:///udp/239.93.1.189:5140
熊猫影院高清,http:///udp/239.93.0.214:5140
睛彩四川,http:///udp/239.93.0.126:5140
成都体育高清,http:///udp/239.93.0.224:1281
熊猫频道高清,http:///udp/239.93.0.211:9148
金熊猫卡通高清,http:///udp/239.93.1.172:5140
炫动卡通,http:///udp/239.93.0.173:5140
嘉佳卡通,http:///udp/239.93.0.246:5140
收视导视高清,http:///udp/239.93.1.39:5140
熊猫爱生活高清,http:///udp/239.93.1.190:5140
大爱四川高清,http:///udp/239.93.1.110:5140
大爱旅游高清,http:///udp/239.93.42.70:5140
大爱生活高清,http:///udp/239.93.42.71:5140
大爱时尚高清,http:///udp/239.93.42.72:5140
HD看电影,http:///udp/239.93.42.47:5140
家政频道高清,http:///udp/239.93.42.48:5140
CETV-2,http:///udp/239.93.0.113:5140
CETV-4,http:///udp/239.93.0.50:5140
经典电影,http:///udp/239.93.0.57:9024
华语影院,http:///udp/239.93.0.138:5140
星光院线,http:///udp/239.93.0.139:5140
全球大片,http:///udp/239.93.0.105:5140
热播剧场,http:///udp/239.93.0.56:9020
热门剧场,http:///udp/239.93.0.140:5140
港剧风云,http:///udp/239.93.0.143:5140
谍战剧场,http:///udp/239.93.0.95:5140
卡酷动画,http:///udp/239.93.0.208:5140
金鹰卡通,http:///udp/239.93.0.108:5140
优漫卡通,http:///udp/239.93.0.251:5140
宝宝动画高清,http:///udp/239.93.0.147:5140
少儿动画高清,http:///udp/239.93.0.193:9000
青春动漫,http:///udp/239.93.0.146:5140
热门综艺高清,http:///udp/239.93.0.151:5140
音乐现场高清,http:///udp/239.93.0.198:9044
戏曲精选,http:///udp/239.93.0.144:5140
戏曲,http:///udp/239.93.0.217:9208
魅力时尚高清,http:///udp/239.93.0.190:9012
生活时尚,http:///udp/239.93.0.106:5140
爱生活高清,http:///udp/239.93.0.206:8028
汽摩高清,http:///udp/239.93.0.62:5140
财富天下,http:///udp/239.93.0.116:9136
股评汇,http:///udp/239.93.0.141:5140
爱体育,http:///udp/239.93.0.135:9008
电竞天堂高清,http:///udp/239.93.1.135:5140
游戏风云,http:///udp/239.93.0.136:5140
汽车频道,http:///udp/239.93.0.117:1292
足球高清,http:///udp/239.93.0.197:9040
高网高清,http:///udp/239.93.0.202:9068
台球高清,http:///udp/239.93.0.203:9072
纪实人文,http:///udp/239.93.1.154:5140
墨宝高清,http:///udp/239.93.0.215:9132
军事高清,http:///udp/239.93.0.204:9076
解密高清,http:///udp/239.93.0.199:9048
地理高清,http:///udp/239.93.0.200:9052
传奇,http:///udp/239.93.0.235:1282
导视,http:///udp/239.93.0.129:5140
